brand,model,total_arsenic,inorganic_arsenic,lead,cadmium,mercury,aluminum,potassium,bisphenol_a,bisphenol_f,bisphenol_s,acrylamide,report_year
Similac,Advance,ND,NT,2.0,ND,ND,414,"7,040,000",ND,ND,ND,ND,2025
Similac,"360 Total Care
Sensitive",4.7,NT,2.8,2.2,ND,1163,"6,646,667",ND,ND,ND,ND,2025
Similac,360 Total Care,3.2,NT,2.8,1.4,ND,653,"7,340,000",ND,ND,ND,ND,2025
Earth’s Best,Organic Dairy,ND,NT,1.8,ND,ND,477,"6,375,000",ND,ND,ND,ND,2025
Similac,NeoSure,9.0,8.7,3.5,ND,ND,799,"7,953,333",ND,ND,ND,ND,2025
ByHeart,Whole Nutrition,ND,NT,3.5,3.9,ND,1280,"6,320,000",ND,ND,ND,ND,2025
Similac,Soy Isomil,4.7,NT,3.6,9.2,ND,3973,"6,783,333",ND,ND,ND,ND,2025
Similac,Alimentum,18.0,15.1,3.2,6.9,ND,1250,"6,795,000",ND,ND,ND,ND,2025
Similac,Sensitive,ND,NT,3.2,2.1,ND,1053,"6,450,000",ND,ND,ND,ND,2025
Bobbie,Organic Gentle,ND,NT,1.5,ND,ND,1325,"7,376,667",ND,ND,ND,ND,2025
Enfamil,"ProSobee Simply
Plant-Based",10.3,7.9,2.8,6.2,ND,2085,"7,390,000",ND,ND,ND,ND,2025
"Kirkland
Signature (Costco)",ProCare,ND,NT,1.7,3.0,ND,314,"7,123,333",ND,ND,ND,ND,2025
"Member’s Mark
(Sam’s Club)",Advantage Premium,ND,NT,1.4,2.9,ND,251,"6,903,333",ND,ND,ND,ND,2025
Up&Up (Target),Soy,6.7,5.3,3.4,4.6,ND,3680,"6,460,000",ND,ND,ND,ND,2025
Enfamil,Nutramigen,5.9,NT,4.2,2.0,ND,1645,"6,540,000",4.8,ND,ND,19,2025
Enfamil,A.R.,2.3,NT,1.5,2.3,ND,215,"5,940,000",ND,ND,ND,ND,2025
Up&Up (Target),Premium,ND,NT,ND,ND,ND,191,"7,005,000",ND,ND,ND,ND,2025
Kendamil,Whole Milk,ND,NT,1.6,ND,ND,200,"4,983,333",ND,ND,ND,ND,2025
Kendamil,Organic,2.8,NT,3.1,ND,ND,126,"5,635,000",ND,ND,ND,ND,2025
Similac,Total Comfort,8.0,6.0,2.7,ND,ND,740,"7,000,000",ND,ND,ND,ND,2025
Bubs,"Stage 1 Easy-digest
Goat Milk",2.8,NT,ND,ND,ND,318,"6,310,000",ND,ND,ND,ND,2025
"Happy Baby
Organics",Sensitive,ND,NT,2.4,ND,ND,516,"5,660,000",ND,ND,ND,ND,2025
Parent’s Choice,Advantage Premium,ND,NT,ND,ND,ND,231,"7,130,000",ND,ND,ND,ND,2025
Enfamil,Enspire Optimum,ND,NT,ND,2.3,ND,ND,"5,805,000",ND,ND,ND,ND,2025
Parent’s Choice,Infant,ND,NT,2.4,3.8,ND,171,"6,550,000",ND,ND,ND,ND,2025
Bubs,"Stage 1 Organic
Grass Fed",2.9,NT,1.9,1.9,ND,1985,"6,135,000",ND,ND,ND,ND,2025
Neocate,Hypoallergenic,4.5,NT,4.1,2.0,ND,347,"5,285,000",ND,ND,ND,ND,2025
"Baby’s Only
Organic",Complete Nutrition,ND,NT,1.4,ND,ND,307,"6,080,000",ND,ND,ND,ND,2025
PurAmino,Hypoallergenic,11.5,9.1,2.3,ND,ND,439,"6,645,000",ND,ND,ND,ND,2025
Bobbie,Organic,ND,NT,1.2,ND,ND,1030,"6,740,000",ND,ND,ND,ND,2025
HiPP,Dutch Organic Stage 1,ND,NT,2.1,3.4,ND,160,"5,310,000",ND,ND,ND,ND,2025
EleCare,Hypoallergenic,23.9,19.7,3.0,ND,ND,1218,"7,335,000",ND,ND,ND,ND,2025
Kabrita,Goat Milk-Based,7.8,8.3,3.7,1.7,ND,450,"6,130,000",ND,ND,ND,ND,2025
A2,Platinum,ND,NT,2.9,ND,ND,1770,"5,580,000",ND,ND,ND,ND,2025
Holle,Bio Organic Stage 1,ND,NT,2.2,3.3,ND,422,"5,960,000",ND,ND,ND,ND,2025
Dr. Brown’s,GentlePro,4.4,NT,ND,ND,ND,148,"6,270,000",ND,ND,ND,ND,2025
Dr. Brown’s,SoothePro,9.3,8.1,ND,ND,ND,280,"6,600,000",ND,ND,ND,ND,2025
Aptamil,First Infant Milk,ND,NT,1.5,ND,ND,215,"5,670,000",ND,ND,ND,ND,2025
