index_100,brand,model,website_link,ingredient_list,has_soy,has_palm_oil,total_arsenic,inorganic_arsenic,lead,cadmium,mercury,aluminum,potassium,bisphenol_a,bisphenol_f,bisphenol_s,acrylamide,report_year
135,Enfamil,"ProSobee Simply Plant-
Based",,,,,1.3,1.3,ND,0.9,ND,390,907667,ND,ND,ND,ND,2026
136,Enfamil,Reguline,,,,,3.8,3,ND,3,ND,785,7296667,ND,ND,ND,ND,2026
137,Enfamil,Sensitive,,,,,10.6,9,1.8,ND,ND,272,8026667,ND,ND,ND,ND,2026
138,"Happy Baby
Organics",Organic Infant Formula,,,,,3.5,NT,1.8,ND,0.92,174,5223333,ND,ND,ND,ND,2026
139,"Happy Baby
Organics",Sensitive,,,,,ND,NT,2.4,ND,ND,516,5660000,ND,ND,ND,ND,2025
140,HiPP,Dutch Organic Stage 1,,,,,ND,NT,2.1,3.4,ND,160,5310000,ND,ND,ND,ND,2025
141,HiPP,Hypoallergenic,,,,,2.6,NT,1.9,3.3,ND,530,6300000,ND,ND,ND,ND,2026
142,HiPP,"Organic Whole Milk Ready
to Feed",,,,,ND,NT,ND,ND,ND,ND,711667,ND,ND,ND,ND,2026
143,Holle,Bio Organic Stage 1,,,,,ND,NT,2.2,3.3,ND,422,5960000,ND,ND,ND,ND,2025
144,Holle,Organic Goat Milk,,,,,2.1,NT,2.1,3.3,ND,206,6500000,ND,ND,ND,ND,2026
145,Jovie,Stage 1 Organic Goat Milk,https://themilkybox.com/products/jovie-goat-stage-1-organic-baby-formula,"ORGANIC WHOLE GOAT MILK POWDER; ORGANIC lactose (milk); ORGANIC vegetable oils (ORGANIC sunflower oil, ORGANIC rapeseed oil); ORGANIC galacto-oligosaccharides (GOS) (milk); docosahexaenoic acid rich oil (DHA) (fish); arachidonic acid rich oil (AA); MINERALS (calcium carbonate, sodium citrate, magnesium chloride, sodium chloride, ferrous lactate, zinc sulphate, copper sulphate, manganese sulphate, potassium iodide, sodium selenite); VITAMINS (ascorbic acid, dl-alpha-tocopheryl acetate, cholecalciferol, retinol acetate, niacinamide, calcium-d-pantothenate, thiamine hydrochloride, pyridoxine hydrochloride, folic acid, riboflavin, phytomenadione, biotin, cobalamine); l-choline bitartrate; l-cystine; l-tryptophan; l-tyrosine; inositol; l-carnitine l-tartrate.",,,2.4,NT,1.9,ND,ND,706,6800000,ND,ND,ND,ND,2026
146,Kabrita,Goat Milk-Based,https://kabrita.com/products/goat-milk-infant-formula,"lactose, non-fat dry goat milk, vegetable oils (soybean oil, high oleic sunflower oil, coconut oil), goat whey protein concentrate powder, high 2-palmitic acid vegetable oil (palm oil), galacto-oligosaccharides, and less than 1%: mortierella alpina oil, tri calcium phosphate, crypthecodinium cohnii oil, tri sodium citrate, choline bitartrate, calcium carbonate, potassium hydroxide, sodium L-ascorbate, choline chloride, taurine, inositol, magnesium carbonate, L-ascorbic acid, vitamin E acetate, ferrous sulfate, niacinamide, zinc sulfate, L-carnitine L-tartrate, calcium pantothenate, retinyl acetate, thiamin hydrochloride, riboflavin, manganese sulfate, cupric sulfate, pyridoxine hydrochloride, folic acid, vitamin K1, potassium iodide, D-biotin, sodium selenate, vitamin D3, cyanocobalamin.",,,7.8,8.3,3.7,1.7,ND,450,6130000,ND,ND,ND,ND,2025
147,Kendamil,"First Infant Milk Ready to
Feed",https://us.kendamil.com/products/classic-first-infant-milk,"Whole Milkō, Reduced Minerals Whey^, Vegetable Oils (Sunflower Oil, Coconut Oil, Low Erucic Rapeseed Oil), Lactose, Skimmed Milk Powder, Galacto-Oligosaccharides (GOS)¥, Less Than 2% of: Whey Protein Concentrate Alpha-Lactalbumin, Calcium Citrate, Potassium Chloride, Calcium Phosphate, Sodium Citrate, Choline Bitartrate, Fructooligosaccharides (FOS), Magnesium Chloride, Schizochytrium Sp. OilO, Ascorbic Acid, Potassium Hydroxide, Inositol, L-Tyrosine, Mortierella Alpina OilO, Taurine, Iron Pyrophosphate, Nucleotides (Cytidine-5’-Monophosphate, Disodium Uridine-5’-Monophosphate, Adenosine-5’-Monophosphate, Disodium Inosine-5’-Monophosphate, Disodium Guanosine-5’-Monophosphate), L-Phenylalanine, Zinc Sulfate, Vitamin E Acetate, Niacinamide, Calcium Pantothenate, Copper Sulfate, Thiamin Hydrochloride, Riboflavin, Vitamin A Acetate, Vitamin B6 Hydrochloride, Manganese Sulfate, Folic Acida, Potassium Iodide, Sodium Selenite, Vitamin K1, Vitamin D3, Biotin, Vitamin B12, Mixed Tocopherols.",,,ND,NT,ND,ND,0.11,ND,825000,ND,ND,ND,ND,2026
148,Kendamil,Goat,https://us.kendamil.com/products/goat-first-infant-milk,Contains Milk.,,,3.7,2.6,1.6,ND,ND,72,6510000,ND,ND,ND,ND,2026
149,Kendamil,Organic,https://us.kendamil.com/products/organic-first-infant-milk,"Organic Whole Milkō, Organic Reduced Minerals Whey∆, Organic Vegetable Oils (Sunflower Oil, Coconut Oil, Low Erucic Rapeseed Oil), Organic Skimmed Milk Powder, Organic Galacto-Oligosaccharides (GOS)¥, Less Than 2% of: Calcium Citrate, Sodium Citrate, Potassium Chloride, Calcium Phosphate, Magnesium Chloride, Schizochytrium Sp. Oil8, Ascorbic Acid, Potassium Hydroxide, Choline Bitartrate, Inositol, Mortierella Alpina OilO, Taurine, Iron Pyrophosphate, Nucleotides (Cytidine-5’-Monophosphate, Disodium Uridine-5’-Monophosphate, Adenosine-5’-Monophosphate, Disodium Inosine-5’-Monophosphate, Disodium Guanosine-5’-Monophosphate), Zinc Sulfate, Vitamin E Acetate, Niacinamide, Calcium Pantothenate, Copper Sulfate, Thiamin Hydrochloride, Riboflavin, Vitamin A Acetate, Vitamin B6 Hydrochloride, Manganese Sulfate, Folic Acidᵃ, Potassium Iodide, Sodium Selenate, Vitamin K1, Vitamin D3, Biotin, Vitamin B12, Mixed Tocopherols.",,,2.8,NT,3.1,ND,ND,126,5635000,ND,ND,ND,ND,2025
150,Kendamil,Whole Milk,https://www.kroger.com/p/kendamil-whole-milk-fats-0-12-months-infant-formula-powder/0085004523801,"Whole Milk, Demineralised Whey Powder, Skimmed Milk Powder, Blend of Oils (Sunflower Oil, Coconut Oil, Rapeseed Oil), Lactose, Galacto-Oligosaccharides (a Type of Prebiotic), Whey Protein Concentrate Alpha-Lactalbumin, Less than 2% of Fructooligosaccharides (a Type of Prebiotic), Mortierella Alpina Oil (a Plant-Based Source of Arachidonic), Schizochytrium SP. Oil (a Plant-Based Source of Docosahexaenoic Acid (DHA)), Calcium Citrate, Sodium Citrate, Potassium Chloride, Calcium Lactate, Magnesium Chloride, Potassium Hydroxide, Choline Bitartrate, Ferrous Sulfate, Zinc Sulfate, Copper Sulfate, Potassium Iodide, Sodium Selenite, Manganese Sulfate, Inositol, Taurine, L-Tyrosine, Nucleotides (Cytidine-5'-Monophosphate, Disodium Uridine-5'-Monophosphate, Adenosine-5'-Monophosphate, Disodium Inosine-5-Monophosphate, Disodium Guanosine-5'-Monophosphate), L-Phenylalanine, Sodium Ascorbate, Vitamin E, Niacin, Pantothenic Acid, Thiamin, Riboflavin, Vitamin A, Vitamin B6, Folic Acid, Vitamin K, Vitamin D3, Biotin, Vitamin B12.",,,ND,NT,1.6,ND,ND,200,4983333,ND,ND,ND,ND,2025
151,"Kirkland
Signature (Costco)",ProCare,https://www.costco.ca/p/-/kirkland-signature-procare-infant-formula-non-gmo-powder-136-kg/4000216043,"Lactose, Skim milk powder, High oleic (safflower or sunflower) oil, Soybean oil*, Whey protein concentrate, Coconut oil, Maltodextrin*, Fructooligosaccharides, Soy lecithin*, Monoglycerides, 2· -fucosyllactose, Mortierella alpina oil (arachidonic acid), Schizochytrium sp. oil (docosahexaenoic acid), Taurine, Nucleotides (adenosine-51-monophosphate, cytidine-51-monophosphate, disodium guanosine-51-monophosphate, disodium inosine-51-monophosphate, disodium uridine-51-monophosphate), L-Carnitine, Mixed tocopherol concentrate*, Ascorbyl palmitate, Citric acid, Lutein, Minerals (calcium carbonate, calcium chloride, calcium hydroxide, cupric sulphate, ferrous sulphate, magnesium chloride, manganese sulphate, potassium bicarbonate, potassium hydroxide, potassium iodide, potassium phosphate, sodium citrate*, sodium selenite*, zinc sulphate), Vitamins (ascorbic acid*, beta-carotene*, biotin*, calcium pantothenate*, choline chloride, cyanocobalamin*, folic acid*, inositol, niacinamide*, pyridoxine hydrochloride*, riboflavin*, thiamine hydrochloride*, vitamin A palmitate*, vitamin D [cholecalciferol]*, vitamin E [di-alpha tocopheryl acetate]*, vitamin K [phytonadione]*). Contains: Milk, Soy.",,,ND,NT,1.7,3,ND,314,7123333,ND,ND,ND,ND,2025
152,Mama Bear,Sensitivity Premium,https://www.amazon.com/Amazon-Brand-Premium-Formula-Fusiness/dp/B0D2YBBBBD?th=1,"Corn Syrup, Milk Protein Isolate, High Oleic (Safflower or Sunflower) Oil, Sucrose, Soy Oil, Coconut Oil, Less Than 2%: Mortierella Alpina Oil*, Schizochytrium Sp. Oil**, 2’-Fucosyllactose (2’-FL)#, Lacto-N-Neotetraose (LNnT)#, Lutein, Calcium Phosphate, Potassium Citrate, Potassium Chloride, Sodium Citrate, Magnesium Phosphate, Ascorbic Acid, Calcium Carbonate, Ferrous Sulfate, Magnesium Chloride, Ascorbyl Palmitate, Choline Bitartrate, Taurine, Inositol, Vitamin E (dl-Alpha Tocopheryl Acetate), Zinc Sulfate, Mixed Tocopherol Concentrate, L-Carnitine, Niacin (Niacinamide), Calcium Pantothenate, Vitamin A Palmitate, Cupric Sulfate, Thiamine Hydrochloride, Riboflavin, Pyridoxine Hydrochloride, Beta-Carotene, Folic Acid, Manganese Sulfate, Potassium Iodide, Vitamin K (Phytonadione), Biotin, Sodium Selenite, Vitamin D (Cholecalciferol), Cyanocobalamin, Potassium Hydroxide, Potassium Bicarbonate, Sodium Chloride, Sodium Phosphate, Monoglycerides, Soy Lecithin, Nucleotides (Adenosine-5’-Monophosphate, Cytidine-5’-Monophosphate, Disodium Guanosine-5’-Monophosphate, Disodium Uridine-5’-Monophosphate). Contains Milk and Soy. #Sources of Prebiotic *A Source of Arachidonic Acid (ARA) **A Source of Docosahexaenoic Acid (DHA)",,,3.6,NT,1.5,2.4,ND,2823,6200000,ND,ND,ND,ND,2026
153,"Member’s Mark
(Sam’s Club)",Advantage Premium,https://www.samsclub.com/ip/Member-s-Mark-Advantage-Premium-Baby-Formula-Powder-with-Iron-36-oz/13581473060,"Nonfat Milk, Lactose, High Oleic (Safflower or Sunflower) Oil, Soy Oil, Whey Protein Concentrate, Coconut Oil, Less Than 1%: Schizochytrium Sp Oil**, Mortierella Alpina Oil*, 2’-Fucosyllactose (2’-FL)◊, Lacto-N-Neotetraose (LNnT)◊, Beta-Carotene, Lutein, Potassium Bicarbonate, Calcium Carbonate, Ascorbic Acid, Soy Lecithin, Monoglycerides, Calcium Chloride, Calcium Hydroxide, Magnesium Chloride, Ferrous Sulfate, Choline Bitartrate, Ascorbyl Palmitate, Sodium Citrate, Taurine, Inositol, Zinc Sulfate, Mixed Tocopherol Concentrate, Vitamin E (dl-Alpha Tocopheryl Acetate), Niacinamide, Calcium Pantothenate, L-Carnitine, Vitamin A Palmitate, Cupric Sulfate, Thiamine Hydrochloride, Riboflavin, Pyridoxine Hydrochloride, Folic Acid, Manganese Sulfate, Vitamin K1 (Phytonadione), Biotin, Sodium Selenite, Vitamin D3, Cyanocobalamin, Potassium Phosphate, Potassium Iodide, Potassium Hydroxide, Nucleotides (Adenosine-5’-Monophosphate, Cytidine-5’-Monophosphate, Disodium Guanosine-5’-Monophosphate, Disodium Uridine-5’-Monophosphate). Contains Milk and Soy. ◊ Sources of Prebiotic *A Source of Arachidonic Acid (ARA)",,,ND,NT,1.4,2.9,ND,251,6903333,ND,ND,ND,ND,2025
